4
test_name,ntup,tsamples,p1,p2,p3,p4,a1,a2,a3,a4
          sts_serial,  15,    100000,     100,0.78609897,0.78361174,0.82143025,0.34510798,PASSED,PASSED,PASSED,PASSED
          sts_serial,  16,    100000,     100,0.29857605,0.3230593,0.85983753,0.80305273,PASSED,PASSED,PASSED,PASSED
          sts_serial,  16,    100000,     100,0.57645799,0.96143257,0.172192,0.51259437,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   1,    100000,     100,0.50886353,0.28290546,0.77856558,0.78511362,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   2,    100000,     100,0.84224428,0.93311817,0.70497446,0.61072951,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   3,    100000,     100,0.59210621,0.7804317,0.54486827,0.11234238,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   4,    100000,     100,0.01352759,0.16802663,0.45122603,0.8442392,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   5,    100000,     100,0.76622969,0.0448586,0.74400092,0.02873309,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   6,    100000,     100,0.92974766,0.1743618,0.92815508,0.27409629,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   7,    100000,     100,0.46989326,0.83873305,0.78456484,0.04941378,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   8,    100000,     100,0.3228168,0.26520757,0.26608178,0.92444402,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,   9,    100000,     100,0.42712922,0.30350284,0.91970989,0.27088832,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,  10,    100000,     100,0.91350444,0.0893943,0.02221661,0.5376844,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,  11,    100000,     100,0.14034486,0.64479608,0.52408279,0.12013573,PASSED,PASSED,PASSED,PASSED
         rgb_bitdist,  12,    100000,     100,0.80077913,0.14275724,0.09939535,0.05306375,PASSED,PASSED,PASSED,PASSED
rgb_minimum_distance,   2,     10000,    1000,0.05411826,0.83787643,0.05934204,0.68530602,PASSED,PASSED,PASSED,PASSED
rgb_minimum_distance,   3,     10000,    1000,0.97056175,0.65987523,0.87248092,0.68900564,PASSED,PASSED,PASSED,PASSED
rgb_minimum_distance,   4,     10000,    1000,0.18976549,0.79248793,0.26157231,0.07373826,PASSED,PASSED,PASSED,PASSED
rgb_minimum_distance,   5,     10000,    1000,0.35450508,0.52236558,0.91681122,0.91010723,PASSED,PASSED,PASSED,PASSED
    rgb_permutations,   2,    100000,     100,0.38397102,0.45002346,0.15674135,0.05827292,PASSED,PASSED,PASSED,PASSED
    rgb_permutations,   3,    100000,     100,0.85730768,0.51709788,0.06050562,0.03163297,PASSED,PASSED,PASSED,PASSED
    rgb_permutations,   4,    100000,     100,0.03610909,0.73707967,0.38761047,0.10126433,PASSED,PASSED,PASSED,PASSED
    rgb_permutations,   5,    100000,     100,0.95414922,0.82596026,0.72163278,0.61418488,PASSED,PASSED,PASSED,PASSED
      rgb_lagged_sum,   0,   1000000,     100,0.39885787,0.97185696,0.32439764,0.57513904,PASSED,PASSED,PASSED,PASSED
      rgb_lagged_sum,   1,   1000000,     100,0.37245116,0.92769073,0.38105187,0.25538839,PASSED,PASSED,PASSED,PASSED
      rgb_lagged_sum,   2,   1000000,     100,0.71181176,0.36240947,0.36374369,0.95824137,PASSED,PASSED,PASSED,PASSED
      rgb_lagged_sum,   3,   1000000,     100,0.99762842,0.03194169,0.52141728,0.89979226,WEAK,PASSED,PASSED,PASSED
      rgb_lagged_sum,   4,   1000000,     100,0.77570812,0.63009451,0.85392847,0.95308545,PASSED,PASSED,PASSED,PASSED
      rgb_lagged_sum,   5,   1000000,     100,0.89392976,0.5892217,0.80981731,0.89468866,PASSED,PASSED,PASSED,PASSED
      rgb_lagged_sum,   6,   1000000,     100,0.91174814,0.11941411,0.11416128,0.38778914,PASSED,PASSED,PASSED,PASSED
      rgb_lagged_sum,   7,   1000000,     100,0.07571529,0.92474855,0.93326698,0.25894735,PASSED,PASSED,PASSED,PASSED
